value	analysis	user	time
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 07:51:55
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 07:52:10
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 07:54:03
Sox2	Age Correlation	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 07:54:17
Slit2	Age Correlation	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:09:38
Slit2	Age Correlation	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:09:51
Slit2	Age Correlation	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:10:16
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:37:53
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:38:49
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:39:53
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:39:58
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:40:03
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:40:11
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:41:21
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:44:56
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	24f1d35e-f793-468a-a6da-d75e3eba370a	2026-02-04 08:45:03
Sox2	Expression Box Plots	d92bd354-1572-4b8e-b0ab-e34c9dd66365	2025-12-08 09:05:28
